key,male,female,unit
vitA_ug,750,650,µg
vitB1_mg,1.1,0.9,mg
vitB2_mg,1.6,1.6,mg
vitB3_mg,16,14,mg
vitB6_mg,1.7,1.6,mg
vitB9_ug,330,330,µg
vitB12_ug,4,4,µg
vitC_mg,110,95,mg
vitD_ug,15,15,µg
vitE_mg,13,11,mg
vitK_ug,70,70,µg
calcium_mg,950,950,mg
iron_mg,11,16,mg
magnesium_mg,350,300,mg
zinc_mg,10,8,mg
potassium_mg,3500,3500,mg
copper_mg,1.6,1.3,mg
selenium_ug,70,70,µg
fiber_g,25,25,g
sodium_mg,2000,2000,mg
vitB5_mg,5,5,mg
phosphorus_mg,550,550,mg
manganese_mg,3,3,mg
iodine_ug,150,150,µg
chloride_mg,3100,3100,mg
