Element or value display name,Description,Data type,Character length,Acceptable values,Required,Accepts null value
Food Group Code ,Number that corresponds to the category of food being evaluated,INT,5,n/a,y,n
NDB,Number of the specific evaluation,INT,10,n/a,y,n
Yield Description,Description of the evaluation being performed,VARCHAR,255,n/a,y,n
Preparation Method1,"Description of the preparation method being performed; For items where Preparation Method is described as 'unspecified', additional cooking method details for the study were unavailable for inclusion in this table.",VARCHAR,50,n/a,y,n
 Cooking Yield %,The percent of yield after the preparation method being performed is complete,INT,3,n/a,y,n
n,The total number of evaluations of this type performed,INT,5,n/a,n,y
SD,Standard deviation in the yield of the results of the type of preparation method,DECIMAL,5,n/a,n,y
Yield Minimum %,The lowest amount of the yield percentage of all the evaluations for a particular preparation method,INT,3,n/a,n,y
Yield Maximum %,The highest amount of the yield percentage of all the evaluations for a particular preparation method,INT,3,n/a,n,y
Moisture Gain/ Loss %,The percentage of moisture change after the preparation method is complete,DECIMAL,10,n/a,n,y
Fat   Gain/ Loss %,The percentage of fat change after the preparation method is complete,DECIMAL,10,n/a,n,y
Release Year2,"The year the results of this evaluation were released; Items with a 1975 release year are based on items contained in AH-102 Food Yields: Summarized by Different Stages of Preparation. The 1975 data do not include values for moisure/fat gain or loss, n, or SD.",YEAR,4,n/a,n,y
