Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
13,13953,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades","Baked or Roasted, unspecified",84,20,3.052,77,89,-22.38,-0.12,2003
13,13806,"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades",Braised,69,20,3.042,65,76,-25.01,-10.23,2000
13,23134,"Beef, chuck eye country-style ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,68.3,70,5.34,60.7,80.4,-35.38,-2.07,2010
13,23113,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades",Roasted,80,35,4.64,75.8,93.5,-24.93,-0.36,2010
13,23140,"Beef, chuck eye steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,80.16846846,70,4.94,61.8,94.9,-25.04,-2.33,2010
13,13373,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades",Braised,71,1,n/a,n/a,n/a,-36.09,-8.28,2000
13,23119,"Beef, chuck, mock tender steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,71.36,61,13.44,56.4,99.5,-37.09,1.65,2010
13,23125,"Beef, chuck, short ribs, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,66.07,30,11.76,44.9,97.3,-31.27,-4.18,2010
13,23054,"Beef, chuck, shoulder clod, shoulder tender, medallion, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,77,10,2.035,74.01,81.1,-22.2,-0.67,2004
13,23058,"Beef, chuck, shoulder clod, shoulder top and center steaks, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,76,10,4.032,72.75,83.39,-22.88,-0.02,2004
13,23060,"Beef, chuck, shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,76,10,2.94,70.71,79.9,-23.2,-0.77,2004
13,23105,"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,71,30,3.9,65.8,83.1,-26.33,-2.07,2010
13,23099,"Beef, chuck, under blade pot roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,64,33,5.09,60.9,78.2,-34.84,-0.83,2010
13,23116,"Beef, chuck, under blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,64.96,34,4.18,58.1,72,-35.38,-2.78,2010
13,13948,"Beef, flank, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,81,20,4.128,74,89,-22.55,-0.99,2003
13,13494,"Beef, ground, high fat (>22%), crumbles",Pan-fried,62,4,1.6,60.31,63.89,-24.96,-12.57,2003
13,13495,"Beef, ground, high fat (>22%), loaf","Baked or Roasted, unspecified",63,4,0.863,61.94,63.89,-22.48,-12.88,2003
13,13496,"Beef, ground, high fat (>22%), patty",Pan-broiled,69,4,2.102,67.55,72.23,-18.18,-12.39,2003
13,13497,"Beef, ground, high fat (>22%), patty ",Broiled or Grilled,63,4,2.622,55.33,69.44,-24.15,-11.98,2003
13,23565,"Beef, ground, low fat (<12%), crumbles",Pan-fried,69,4,1.083,67.08,69.53,-29.56,-1.39,2002
13,23566,"Beef, ground, low fat (<12%), loaf","Baked or Roasted, unspecified",72,4,2.817,67.59,73.93,-25.93,-1.72,2002
13,23563,"Beef, ground, low fat (<12%), patty",Broiled or Grilled,73,4,0.856,72.82,74.68,-24.21,-1.55,2002
13,23564,"Beef, ground, low fat (<12%), patty",Pan-broiled,77,4,0.805,76.37,78.3,-21.25,-1.4,2002
13,23575,"Beef, ground, medium fat (12%-22%), crumbles",Pan-fried,67,4,3.534,63.7,71.62,-27.83,-5.32,2002
13,23576,"Beef, ground, medium fat (12%-22%), loaf","Baked or Roasted, unspecified",70,4,4.86,65.08,76.25,-23.97,-5.73,2002
13,23573,"Beef, ground, medium fat (12%-22%), patty",Broiled or Grilled,69,4,3.879,63.96,72.42,-25.1,-5.17,2002
13,23574,"Beef, ground, medium fat (12%-22%), patty",Pan-broiled,73,4,2.768,70.78,75.97,-20.82,-6.22,2002
13,23345,"Beef, loin, tenderloin roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Roasted,82,1,n/a,n/a,n/a,-23.51,-0.81,2013
13,13439,"Beef, loin, tenderloin steak, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,79,1,n/a,n/a,n/a,-29.41,-0.41,2013
13,13445,"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,82,1,n/a,n/a,n/a,-37.07,-1.52,2013
13,23214,"Beef, plate steak, boneless, inside skirt, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,72.9,72,4.5,64.3,84.9,-30.01761584,-2.283665893,2011
13,23221,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,68.2,72,4.3,58.6,79.3,-29.53427828,-4.199153416,2011
13,,"Beef, retail all cuts, all temps",Broiled or Grilled,78,458,4.39203912,68.60327988,87.98179328,,,2011
13,,"Beef, retail cuts, all, bone in",Braised,73,36,8.8,53,87,,,2011
13,,"Beef, retail cuts, all, boneless",Braised,67,361,7.438571429,55.74285714,84.1712646,,,2011
13,,"Beef, retail cuts, bone in, all temps","Baked or Roasted, unspecified",77,35,2.8,72,84,,,2011
13,,"Beef, retail cuts, boneless, all temps","Baked or Roasted, unspecified",79,71,6.6,64,96,,,2011
13,,"Beef, retail cuts, boneless, short ribs",Braised,66,30,11.76,44.9,97.3,,,2011
13,,"Beef, retail cuts, steaks, bone in and boneless",Multiple cooking methods,76,553,5.195304735,66.53904717,87.57250299,,,2011
13,23191,"Beef, rib eye roast, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Roasted,76.9,35,2.8,71.8,83.5,-17.59821127,-1.744219782,2011
13,23198,"Beef, rib eye roast, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Roasted,75.8,36,3.9,65.7,84.9,-21.82757575,-2.643984347,2011
13,23188,"Beef, rib eye steak, bone-in, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Grilled,85.7,36,4,77.7,90.3,-17.35413808,-0.332022943,2011
13,23227,"Beef, rib eye steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,82.2,36,4,75.2,88.6,-20.09146629,-2.026412998,2011
13,23197,"Beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8"" fat, all grades",Grilled,83.6,36,3.8,74.6,91.9,-17.79992312,-1.128347314,2011
13,23233,"Beef, rib, back ribs, bone-in, separable lean and fat, trimmed to 0"" fat, all grades",Braised,75.3,36,3.1,65.2,82.2,-19.96011103,-7.094955945,2011
13,13851,"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,82,20,4.258,70,85,-23.91,-5.19,2000
13,13421,"Beef, round tip round roast, separable lean and fat, trimmed to 0"" fat, all grades","Baked or Roasted, unspecified",85,20,3.236,76,87,-24.71,-1,2000
13,13870,"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades","Baked or Roasted, unspecified",84,20,2.741,76,88,-20.64,-2.8,2000
13,13869,"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Braised,69,20,2.137,62,70,-34.01,-4.44,2000
13,13878,"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades","Baked or Roasted, unspecified",81,20,1.987,75,83,-23.92,-1.17,2000
13,23062,"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,76,13,3.442,70.86,81,-22.71,-0.74,2004
13,23056,"Beef, round, knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,75,7,2.736,71.42,78.59,-24.09,-0.38,2004
13,23064,"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,77,10,2.262,74.49,81.65,-22.39,-0.03,2004
13,13893,"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,72,20,5.324,62,83,-28.42,-1.8,2000
13,13910,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,82,1,n/a,n/a,n/a,-19.7,-2.77,2013
13,23131,"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,66.28,71,6.13,54.6,80.9,-37.26,0.3,2010
13,23554,"Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,77.72357724,72,4.41,69.8,88.9,-28.36,-0.27,2010
13,13598,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,73,34,5.65,69,89.9,-34.14,-0.4,2010
13,13918,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,80,19,3.91,71,86,-21.25,-5.85,2000
