# O vocabulário dos nomes de alimentos: inglês -> português, segmento a segmento.
#
# Formato: ingles;portugues;tipo;genero;numero
#   tipo   nome | qualificador | expressao
#   genero m | f            (só nas bases; é delas que vem a concordância)
#   numero s | p            (idem)
#
# Os qualificadores guardam-se no masculino singular e flexionam-se sozinhos — ver
# `traduzir.mjs`. Um que fuja à regra escreve-se com as duas formas: `mau/má`.
#
# O que não está aqui não se inventa: o alimento fica em inglês, marcado, e vai para a fila
# da oficina. Meio traduzido é pior do que não traduzido.

# ---------------------------------------------------------------- estados e preparações
raw;cru/crua;qualificador;;
raw (average);cru (média)/crua (média);qualificador;;
uncooked;cru/crua;qualificador;;
cooked;cozinhado;qualificador;;
cooked (average);cozinhado (média);qualificador;;
boiled;cozido;qualificador;;
boiled/cooked in water;cozido em água;qualificador;;
braised or boiled;estufado ou cozido;qualificador;;
braised;estufado;qualificador;;
stewed;guisado;qualificador;;
steamed;cozido a vapor;qualificador;;
poached;escalfado;qualificador;;
roasted;assado;qualificador;;
roasted/baked;assado no forno;qualificador;;
baked;assado no forno;qualificador;;
grilled;grelhado;qualificador;;
grilled/pan-fried;grelhado ou salteado;qualificador;;
grilled/pan-fried without added fat;grelhado sem gordura;qualificador;;
broiled;grelhado;qualificador;;
fried;frito;qualificador;;
pre-fried;pré-frito;qualificador;;
deep-fried;frito em óleo;qualificador;;
sautéed/pan-fried;salteado;qualificador;;
pan-fried;salteado;qualificador;;
dry heat;calor seco;expressao;;
moist heat;calor húmido;expressao;;
toasted;torrado;qualificador;;
dry roasted;torrado a seco;qualificador;;
oil-roasted;torrado em óleo;qualificador;;
smoked;fumado;qualificador;;
cured;curado;qualificador;;
fermented;fermentado;qualificador;;
sprouted;germinado;qualificador;;
dried;seco;qualificador;;
dried or dehydrated;seco ou desidratado;qualificador;;
dehydrated;desidratado;qualificador;;
dehydrated and reconstituted;desidratado e reconstituído;qualificador;;
dry;seco;qualificador;;
frozen;congelado;qualificador;;
canned;em conserva;expressao;;
canned or bottled;em lata ou garrafa;expressao;;
canned in brine;em conserva de salmoura;expressao;;
canned in light syrup;em calda leve;expressao;;
in oil;em óleo;expressao;;
in tomato sauce;em molho de tomate;expressao;;
semi-preserved;semiconservado;qualificador;;
pasteurized;pasteurizado;qualificador;;
pasteurized process;processado e pasteurizado;expressao;;
uht;UHT;expressao;;
sterilized;esterilizado;qualificador;;
refrigerated;refrigerado;qualificador;;
room temperature;à temperatura ambiente;expressao;;
prepared;preparado;qualificador;;
pre-cooked;pré-cozinhado;qualificador;;
ready-to-eat;pronto a comer;expressao;;
ready-to-serve;pronto a servir;expressao;;
ready-to-drink;pronto a beber;expressao;;
ready-to-heat;pronto a aquecer;expressao;;
to be reheated;para aquecer;expressao;;
to cook;para cozinhar;expressao;;
reheated;reaquecido;qualificador;;
prepared from recipe;feito de raiz;expressao;;
